Word,Level,Weight,Length,Start,End
surgeri,1,15.11137343,5,2002,2010
primari,1,16.08003246,8,1952,1966
pneumonectomi,1,17.16486245,4,2004,2010
human,1,12.56895499,5,1992,2000
chemotherapi,1,12.84805605,5,2002,2010
pemetrex,1,21.77922685,5,2002,2010
mesothelin,1,14.2407979,3,2006,2010
pericardium,1,26.57427421,16,1950,1980
extrapleur,1,15.16887004,4,2004,2010
fibrous,1,11.87132908,9,1972,1988
gene,1,13.65603909,6,1994,2004
pleura,1,43.95789884,15,1948,1976
asbestosi,1,11.91051734,12,1960,1982
diffus,1,18.02422603,16,1956,1986
